Beginning of text file
Serial, 1000000, 0.24
Threaded, 1000000, 0.13
Serial, 2000000, 0.52
Threaded, 2000000, 0.28
Serial, 3000000, 0.82
Threaded, 3000000, 0.4
5Serial, 4000000, 1.08
Threaded, 4000000, 0.58
Serial, 5000000, 1.37
Threaded, 5000000, 0.73
Serial, 6000000, 1.75
Threaded, 6000000, 0.98
Serial, 7000000, 1.96
Threaded, 7000000, 1.03
Serial, 8000000, 2.25
Threaded, 8000000, 1.23
Serial, 9000000, 2.58
Threaded, 9000000, 1.45
Serial, 10000000, 2.92
Threaded, 10000000, 1.64
Serial, 11000000, 3.33
Threaded, 11000000, 1.83
Serial, 12000000, 3.69
Threaded, 12000000, 2.00
Serial, 13000000, 3.95
Threaded, 13000000, 2.16
Serial, 14000000, 4.02
Threaded, 14000000, 2.19
Serial, 15000000, 4.42
Threaded, 15000000, 2.38
Serial, 16000000, 4.69
Threaded, 16000000, 2.51
Serial, 17000000, 5.05
Threaded, 17000000, 2.66
Serial, 18000000, 5.49
Threaded, 18000000, 2.86
Serial, 19000000, 5.91
Threaded, 19000000, 3.14
Serial, 20000000, 6.15
Threaded, 20000000, 3.30
Serial, 21000000, 6.24
Threaded, 21000000, 3.37
Serial, 22000000, 6.73
Threaded, 22000000, 3.62
Serial, 23000000, 7.18
Threaded, 23000000, 3.81
Serial, 24000000, 7.62
Threaded, 24000000, 4.04
Serial, 25000000, 8.01
Threaded, 25000000, 4.27
Serial, 26000000, 8.37
Threaded, 26000000, 4.43
Serial, 27000000, 8.20
Threaded, 27000000, 4.40
Serial, 28000000, 8.57
Threaded, 28000000, 4.45
Serial, 29000000, 8.84
Threaded, 29000000, 4.79
Serial, 30000000, 8.99
Threaded, 30000000, 4.71
Serial, 31000000, 9.48
Threaded, 31000000, 5.08
Serial, 32000000, 9.76
Threaded, 32000000, 5.31
Serial, 33000000, 10.05
Threaded, 33000000, 5.39
Serial, 34000000, 10.58
Threaded, 34000000, 5.68
Serial, 35000000, 10.97
Threaded, 35000000, 5.81
Serial, 36000000, 11.01
Threaded, 36000000, 6.09
Serial, 37000000, 11.52
Threaded, 37000000, 6.36
Serial, 38000000, 11.73
Threaded, 38000000, 6.36
Serial, 39000000, 12.27
Threaded, 39000000, 6.61
Serial, 40000000, 12.44
Threaded, 40000000, 6.68
Serial, 41000000, 13.07
Threaded, 41000000, 7.24
Serial, 42000000, 13.67
Threaded, 42000000, 7.30
Serial, 43000000, 13.75
Threaded, 43000000, 7.56
Serial, 44000000, 14.10
Threaded, 44000000, 7.72
Serial, 45000000, 14.68
Threaded, 45000000, 7.98
Serial, 46000000, 15.11
Threaded, 46000000, 8.21
